단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
007810,KR7007810005,코리아써키트,ST,2.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,19850,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,272709,500,19850909,23620,11810375500,12.0,,0,,N,N,Y,4108,312,338,259,19.46,20220331.0,4688,632,N,N,N
007815,KR7007811003,코리아써우,ST,0.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,8240,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2522,500,19890704,2964,1482345000,12.0,,1,,N,N,N,0,0,0,0,0.0,,244,,N,N,N
00781K,KR700781K015,코리아써키트2우B,ST,0.0,0,13,0,Y,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,8650,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,197,500,20130617,783,391849500,12.0,,9,,N,N,N,0,0,0,0,0.0,,67,,N,N,N
007860,KR7007860000,서연,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,7290,1,1,N,N,N,0,N,N,N,0,0,0,50,N,90,42299,500,19890909,23479,11739922000,12.0,,0,,N,N,Y,6800,295,396,321,17.53,20220331.0,1711,,N,N,N
007980,KR7007980006,태평양물산,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1715,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,60115,500,19941227,48149,24955871000,12.0,,0,,N,N,Y,2386,52,-45,-43,-10.55,20220331.0,825,,N,N,N
008040,KR7008040008,사조동아원,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1450,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,2162957,500,19890624,141144,70572300000,12.0,,0,,N,N,Y,1169,58,16,10,1.8,20220331.0,2046,,N,N,N
008060,KR7008060006,대덕,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,6480,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,101946,500,19890126,33890,16945075000,12.0,,0,,N,N,Y,4101,428,499,380,6.97,20220331.0,2196,,N,N,N
00806K,KR700806K010,대덕1우,ST,0.0,0,21,0,N,N,,0,N,N,N,,N,N,,,,,N,,,0,,,,,,,,,9330,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2716,500,20181219,1212,606178500,12.0,,9,,N,N,N,0,0,0,0,0.0,,113,,N,N,N
008110,KR7008110009,대동전자,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,6340,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,19431,500,19900605,10490,5245223500,3.0,,0,,N,N,Y,436,22,113,84,5.13,20220331.0,665,,N,N,N
008250,KR7008250003,이건산업,ST,3.0,0,7,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,8520,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,28117,5000,19881021,10952,54763175000,12.0,,0,,N,N,Y,786,75,78,58,11.95,20220331.0,933,,N,N,N
008260,KR7008260002,NI스틸,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,4850,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,42028,500,19750628,28600,14300058500,12.0,,0,,N,N,Y,2482,312,284,221,16.75,20211231.0,1387,,N,N,N
